strategy,top1_retrieval_accuracy,top5_retrieval_accuracy,class_purity,retrieval_entropy,avg_cosine_similarity,retrieval_time_sec,memory_bank_size
NoMemory,0.0,0.0,0.0,0.0,0.0,2.5209719997292266e-06,0.0
EmbeddingKNN,0.978,0.998,0.9786,0.03858914235616479,0.9756563291072846,0.0006584887950129996,2000.0
FGKNN,0.962,0.989,0.9374,0.11640233492898064,0.9414515451312065,0.0004733560719878369,2000.0
PrototypeMemory,0.974,1.0,0.20000000000000004,2.3219280948873626,0.4356265115682036,6.411950800338673e-05,10.0
GraphAwareMemory,0.98,0.989,0.982,0.013968168918550803,0.9755986804544925,0.001594696155011661,2000.0
CombinedMemory,0.978,0.997,0.9748,0.0431193135398818,0.9494519313931465,0.0010260728500170444,2000.0
