strategy,top1_retrieval_accuracy,top5_retrieval_accuracy,class_purity,retrieval_entropy,avg_cosine_similarity,retrieval_time_sec,memory_bank_size
NoMemory,0.0,0.0,0.0,0.0,0.0,2.283155700752104e-06,0.0
EmbeddingKNN,0.991,0.9981,0.9867600000000001,0.024831782983976893,0.9892661479461194,0.00399475295669913,10000.0
FGKNN,0.9823,0.9934,0.9669400000000001,0.05831362826240804,0.9619160603773594,0.0028993495447984514,10000.0
PrototypeMemory,0.9728,0.9998,0.19996000000000003,2.321928094887362,0.5377874079823123,5.27990775006856e-05,12.0
GraphAwareMemory,0.9822,0.9864,0.98372,0.004722951162957684,0.9890747647774221,0.011317431166401184,10000.0
CombinedMemory,0.9916,0.998,0.9856,0.027689048601827443,0.9701349952483178,0.006883961351699281,10000.0
